Column Name,Full Column Name,Data Type,Description,Example
season,Season,`int`,The MiLB season for this player.,"""2022"", ""2023"""
team_id,Team ID,`int`,The MiLB team ID for this player.,"""260"" (Tulsa Drillers, Double-A), ""445"" (Columbus Clippers, Triple-A) , ""5370"" (ACL Giants Orange, Arizona Complex League)"
team_abv,Team Abbreviation,`str`,The abbreviation for the MiLB team of this player.,"""TUL"" (Tulsa Drillers, Double-A), ""COL"" (Columbus Clippers, Triple-A) , ""GNTO"" (ACL Giants Orange, Arizona Complex League)"
team_name,Team Name,`str`,The name for the MiLB team this player played for.,"""Tulsa Drillers"", ""Columbus Clippers"", ""ACL Giants Orange"""
team_league_id,Team League ID,`int`,The League ID for the MiLB team this player played for.,"""109"" (Texas League, Double-A), ""221"" (International League, Triple-A), ""560"" (Arizona Complex League, Rookie)"
team_league,Team League Abbreviation,`str`,The League abbreviation for the league that the MiLB team exists in.,"""TEX"" (Texas League, Double-A), ""INT"" (International League, Triple-A), ""ACL"" (Arizona Complex League, Rookie)"
team_level_id,Team Level ID,`int`,The MiLB level this team plays in.,"""11"" (Triple-A), ""12"" (Double-A), ""16"" (Rookie)"
team_level_abv,Team Level Abbreviation,`str`,The Abbreviation for the MiLB level.,"""AAA"" (Triple-A), ""AA"" (Double-A), ""RK"" (Rookie)"
player_id,Player ID,`int`,The Player ID for this player,"""663734"" (The player ID for Nick Neidert, a pitcher for the 2023 Iowa Cubs baseball team, a team that playes in the International League, at the Triple-A level.)"
player_full_name,Player Full Name,`str`,The full name for this player,"""Nick Neidert"""
player_first_name,Player First Name,`str`,The real first name of this player.,"""Nicholas"""
player_last_name,Player Last Name,`str`,The Real last name of this player.,"""Neidert"""
player_use_name,Player Use Name,`str`,"The first name used by this player. This can be differient from `player_first_name`, but is typicaly equal to `player_first_name`.","""Nick"""
player_initial_name,Player Initial Name,`str`,"The player's name, formatted as `{player_use_name[0]} {player_last_name}`.","""N Neidert"""
player_position,Player Position,`str`,The primary position(s) of this player for this team/season.,"""P"""
pitching_W,Pitching - Wins,`int`,The number of wins (if any) attributed to this player as a pitcher.,
pitching_L,Pitching - Losses,`int`,The number of losses (if any) attributed to this player as a pitcher.,
pitching_W%,Pitching - Win Percentage,`decimal`,The win percentage of this pitcher with this team.,
pitching_ERA,Pitching - Earned Run Average (ERA),`decimal`,The ERA of this pitcher. Calculates the average of earned runs allowed by a pitcher per nine innings pitched (i.e. the traditional length of a game). Formula is `9 * (pitching_ER / pitching_IP)`.,
pitching_RA9,Pitching - Runs Allowed per 9 (RA/9),`decimal`,"The RA/9 of this pitcher. Similar to ERA, but includes unearned runs as well. Formula is `9 * (pitching_R / pitching_IP)`.",
pitching_G,Pitching - Games (G),`int`,The number of apperances as a pitcher for this player for this team in this season.,
pitching_GS,Pitching - Games Started (GS),`int`,The number of apperances as a starting pitcher for this player for this team in this season.,
pitching_GF,Pitching - Games Finished (GF),`int`,"The number of times as a pitcher for this player for this team in this season, where this player was the final pitcher used for that game.",
pitching_CG,Pitching - Complete Games (CG),`int`,"The number of times as a starting pitcher for this player for this team in this season, where this player was the only pitcher used in a game that lasted at least 8 innings.",
pitching_QS,Pitching - Quality Starts (QS),`int`,"The number of times in this season and with this team, where the player as a starting pitcher pitched at least 6 innings, and allowed 3 earned runs or fewer.",
pitching_SHO,Pitching - Shutouts (SHO),`int`,"The number of times as a starting pitcher for this season and this team, where this player was the only pitcher used, and allowed zero (0) runs.",
pitching_SVO,Pitching - Save Opportunities (SVO),`int`,"The number of apperances where as the final pitcher used, one of the following conditions is true: A. Their team is leading by 3 runs or less, and pitches at least one (1) full inning. B. The pitcher enters the game with the tying run in the on-deck circle, or the opposition team is closer to scoring. C. Pitch at least three innings, as the final pitcher used.",
pitching_SV,Pitching - Saves (SV),`int`,"In tandem with ""Pitching - Save Opportunities (SVO)"", this is the number of times where a pitcher entered into the game with a save opportunity, and his team won.",
pitching_HLD,Pitching - Holds (HLD),`int`,"In tandem with ""Pitching - Save Opportunities (SVO)"", this is the number of times where a pitcher entered into the game with a save opportunity, did not finish the game, but did not squander the lead while in the game as a pitcher.",
pitching_BS,Pitching - Blown Saves (BS),`int`,"In tandem with ""Pitching - Save Opportunities (SVO)"", this is the number of times where a pitcher entered into the game with a save opportunity, and his team lost the game, because this player allowed the tying run and/or go ahead run to score.",
